WELL,DEPTH_MD,RDEP,RHOB,GR,NPHI,PEF,DTC,FORCE_2020_LITHOFACIES_LITHOLOGY
15/9-13,494.528,1.7986813784,1.884185791,80.20085144,,20.915468216,161.13117981,65000
15/9-13,494.68,1.7956413031,1.8897935152,79.262886047,,19.383012772,160.60346985,65000
15/9-13,3231.44,2.6639435291,2.5327744484,94.768180847,0.3056144714,,80.889732361,65000
15/9-13,3231.592,2.6526257992,2.5315256119,96.184753418,0.2930328548,,80.70740509,65000
15/9-17,1088.7899984,1.5033876896,,68.692321777,0.5814231634,,141.18533325,65000
15/9-17,1088.9419984,1.5181388855,,68.746078491,0.6070592999,,140.84857178,65000
16/1-6 A,1726.371735,0.5579954386,2.1278173923,44.244361877,,2.8257071972,140.86907959,65000
16/1-6 A,1726.523735,0.5577574968,2.1253743172,43.782520294,,2.7977688313,141.36943054,65000
16/10-1,439.41578984,2.0350856781,,51.431892395,,,152.9528656,65030
16/10-1,439.56778984,2.04286623,,49.472492218,,,153.49142456,65030
16/10-1,439.71978984,2.0502533913,,50.16727829,,,156.19569397,65030
16/10-1,439.87178984,2.0509865284,,46.572551727,,,157.47203064,65030
16/10-1,440.02378984,2.0563628674,,48.498447418,,,157.2562561,65030
16/10-1,440.17578984,2.0565972328,,47.90625,,,151.1726532,65030
16/10-1,440.32778984,2.0491325855,,45.493743896,,,152.9394989,65030
16/10-1,440.47978984,2.0615692139,,45.371612549,,,155.41781616,65030
16/10-1,440.63178984,2.0511016846,,43.720394135,,,160.80473328,65030
16/10-1,440.78378984,2.0352151394,,44.498577118,,,169.1759491,65030
16/10-1,440.93578984,2.0086071491,,42.633563995,,,172.37774658,65030
16/10-1,441.08778984,1.9765993357,,44.46270752,,,172.260849,65030
16/10-1,441.23978984,1.9384697676,,42.176334381,,,173.44248962,65030
16/10-1,441.39178984,1.9012136459,,42.113376617,,,176.11630249,30000
16/10-1,441.54378984,1.8525332212,,40.540748596,,,176.72438049,30000
16/10-1,441.69578984,1.7979664803,,41.12153244,,,179.35185242,30000
16/10-1,441.84778984,1.7515089512,,38.966362,,,178.32061768,30000
16/10-1,441.99978984,1.6969704628,,35.618370056,,,177.30912781,30000
16/10-1,442.15178984,1.6540105343,,34.63608551,,,179.12651062,30000
16/10-1,442.30378984,1.6235179901,,34.293628693,,,179.48390198,30000
16/10-1,442.45578984,1.6009809971,,34.450683594,,,181.59925842,30000
16/10-1,442.60778984,1.590010643,,36.729400635,,,180.35443115,30000
16/10-1,442.75978984,1.5866098404,,34.678436279,,,178.85838318,30000
16/10-1,442.91178984,1.5919500589,,34.581611633,,,177.82487488,30000
16/10-1,443.06378984,1.6092791557,,30.86690712,,,179.13375854,30000
16/10-1,443.21578984,1.6358129978,,29.849065781,,,182.92951965,30000
16/10-1,443.36778984,1.6736810207,,27.615106583,,,184.16725159,30000
16/10-1,443.51978984,1.7240929604,,28.596088409,,,180.36282349,30000
